#lambda shiftm2		unused		VacEnergy      Mass
0	0		0		0	       1
0.2     0.00713476	0.0479614	-0.00181098	0.978477
0.4	0.046857	0.175625	-0.00692526	0.930595
0.6	0.138034	0.377342	-0.0152097	0.86688
0.8     0.297249	0.658204	-0.0267513	0.791184	
1.0	0.543624	1.03019		-0.0417646	0.705098
1.2	0.902209	1.51274		-0.0605836	0.609331
1.4	1.40763		2.1347		-0.0836923	0.504867
1.6	2.113		2.94212		-0.112259	0.395312
1.7	2.52819		3.39584		-0.128095	0.346838
#1.8 	2.99168		3.88888		-0.146094	0.30735
#1.85	3.22964		4.13725		-0.155791	0.293688
1.9	3.36537		4.28908		-0.163783	0.223614
1.95	3.43324		4.37393		-0.170214	0.162739
1.96	3.45257		4.39566		-0.171639	0.155757
1.97	3.46725		4.41286		-0.172881	0.148556
1.99	3.50322		4.45294		-0.17557	0.137342
2.0	3.52177		4.4733		-0.176922	0.132573
2.05	3.61838		4.5771		-0.183738	0.114413
2.1	3.71899		4.68273		-0.190644	0.102197
2.15	3.82175		4.78919		-0.197637	0.0933283
2.2	3.92575		4.89604		-0.20472	0.0865362

